charge,species,x,y,z,total
0,LiH,0,0,5.88,5.88
0,BH,0,0,1.27,1.27
0,CH,0,0,1.46,1.46
0,CN,0,0,-1.45,1.45
0,OH,0,0,1.668,1.668
0,LiO,0,0,6.843,6.843
0,CO,0,0,1.375,1.375
0,HF,0,0,1.827,1.827
0,LiF,0,0,6.824,6.824
0,BF,0,0,0.5,0.5
0,CF,0,0,0.645,0.645
0,NF,0,0,0.37,0.37
0,NaH,0,0,6.4,6.4
0,NaLi,0,0,0.46,0.46
0,FO,0,0,0.004,0.004
0,NaF,0,0,8.123,8.123
0,AlF,0,0,1.53,1.53
0,SiO,0,0,3.088,3.088
0,SF,0,0,0.794,0.794
0,HCl,0,0,1.093,1.093
0,NaCl,0,0,8.971,8.971
0,LiCl,0,0,7.085,7.085
0,ClO,0,0,1.329,1.329
0,ClF,0,0,0.88,0.88
0,NaK,0,0,2.667,2.667
0,LiK,0,0,3.45,3.45
0,KF,0,0,8.558,8.558
0,KCl,0,0,10.329,10.329
0,CaCl,0,0,4.265,4.265
0,ScH,0,0,1.74,1.74
0,CuO,0,0,4.5,4.5
0,CuF,0,0,5.77,5.77
0,GaF,0,0,2.45,2.45
0,GeO,0,0,3.272,3.272
0,GeS,0,0,2,2
0,HSe,0,0,0.49,0.49
0,GeSe,0,0,1.648,1.648
0,SeO,0,0,2.01,2.01
0,SeF,0,0,1.52,1.52
0,HBr,0,0,0.827,0.827
0,LiBr,0,0,7.226,7.226
0,NaBr,0,0,9.092,9.092
0,KBr,0,0,10.613,10.613
0,BrO,0,0,1.61,1.61
0,BrCl,0,0,0.519,0.519
0,BrF,0,0,1.422,1.422
0,LiB,0,0,-6.33,6.33
0,LiH,0,0,5.976,5.976
0,BeH,0,0,0.199,0.199
0,LiBe,0,0,-2.755,2.755
0,BN,0,0,2.53,2.53
0,MgH,0,0,1.835,1.835
0,NaMg,0,0,-0.537,0.537
0,MgF,0,0,3.321,3.321
0,MgN,0,0,2.636,2.636
0,MgO,0,0,7.079,7.079
0,AlH,0,0,0.232,0.232
0,AlO,0,0,5.304,5.304
0,BAl,0,0,1.988,1.988
0,AlF,0,0,1.492,1.492
0,LiAl,0,0,3.214,3.214
0,AlN,0,0,2.831,2.831
0,SiN,0,0,2.694,2.694
