charge,species,alpha
0,NaLi,39.999
0,MgO,1.75
0,NO,1.698
0,HBr,3.616
0,F2,1.16
0,HCl,2.515
0,HBr,3.616
0,CO,1.953
0,N2,1.71
0,O2,1.562
0,Cl2,4.61
0,CaO,2.841
0,Br2,6.431
0,KH,7.244
0,KF,1.695
0,KCl,3.767
0,NaK,55.892
0,LiK,49.725
0,K2,80.642
0,CaH,21.07
0,CaF,19.364
0,CaS,14.077
0,CaCl,19.797
0,ZnH,6.416
0,ZnF,5.303
0,ZnS,9.368
0,ZnO,5.903
0,NBr,4.576
0,BrCl,5.646
0,BrF,3.63
0,PBr,7.252
0,KBr,8.134
0,SiBr,8.729
0,LiH,4.174
0,Li2,31.404
0,HeH,1.034
0,Be2,18.401
0,LiBe,29.31
0,BH,3.585
0,B2,7.345
0,LiBe,12.902
0,BeB,10.612
0,CH,2.141
0,LiC,5.509
0,BeC,8.146
0,C2,7.494
0,BC,4.893
0,NH,1.567
0,BN,3.622
0,LiN,4.265
0,BeN,5.894
0,BO,2.707
0,BeO,5.02
0,NaF,2.622
0,NaBe,34.163
0,Na2,35.812
0,Mg2,24.797
0,NaMg,42.964
0,MgN,10.255
0,AlH,7.283
0,BAl,13.102
0,AlF,5.861
0,AlO,6.533
0,Si2,8.503
0,SiN,7.351
0,SiO,4.539
0,SiF,5.445
0,PH,4.188
0,PO,4.288
0,LiP,9.125
0,CP,5.71
0,HS,5.312
0,SO,3.493
0,PS,6.835
0,BS,5.33
0,Cl2,4.539
0,LiCl,4.046
0,CCl,4.107
0,MgCl,10.48
0,GaH,6.193
0,GaF,5.007
0,GaP,21.668
0,GaS,8.77
0,GaN,8.463
0,GeH,6.036
0,Ge2,15.094
0,GeS,8.037
0,GeCl,7.578
0,SiGe,9.747
0,GeO,4.937
0,AsH,4.94
0,AsP,8.519
0,AsO,4.966
0,AsF,4.669
0,As2,9.524
0,GaAs,13.088
0,Hse,4.317
0,SiSe,8.778
0,SeO,4.399
0,Pse,8.125
0,AsSe,9.078
0,CSe,5.248
0,CaBr,21.337
0,SeBr,7.557
0,Br2,6.727
0,NaLi,39.999
0,MgO,1.75
0,NO,1.698
0,HBr,3.616
0,F2,1.16
0,HCl,2.515
0,HBr,3.616
0,CO,1.953
0,N2,1.71
0,O2,1.562
0,Cl2,4.61
0,CaO,2.841
0,Br2,6.431
0,KH,7.244
0,KF,1.695
0,KCl,3.767
0,NaK,55.892
0,LiK,49.725
0,K2,80.642
0,CaH,21.07
0,CaF,19.364
0,CaS,14.077
0,CaCl,19.797
0,ZnH,6.416
0,ZnF,5.303
0,ZnS,9.368
0,ZnO,5.903
0,NBr,4.576
0,BrCl,5.646
0,BrF,3.63
0,PBr,7.252
0,KBr,8.134
0,SiBr,8.729
0,LiH,4.174
0,Li2,31.404
0,HeH,1.034
0,Be2,18.401
0,LiBe,29.31
0,BH,3.585
0,B2,7.345
0,LiBe,12.902
0,BeB,10.612
0,CH,2.141
0,LiC,5.509
0,BeC,8.146
0,C2,7.494
0,BC,4.893
0,NH,1.567
0,BN,3.622
0,LiN,4.265
0,BeN,5.894
0,BO,2.707
0,BeO,5.02
0,NaF,2.622
0,NaBe,34.163
0,Na2,35.812
0,Mg2,24.797
0,NaMg,42.964
0,MgN,10.255
0,AlH,7.283
0,BAl,13.102
0,AlF,5.861
0,AlO,6.533
0,Si2,8.503
0,SiN,7.351
0,SiO,4.539
0,SiF,5.445
0,PH,4.188
0,PO,4.288
0,LiP,9.125
0,CP,5.71
0,HS,5.312
0,SO,3.493
0,PS,6.835
0,BS,5.33
0,Cl2,4.539
0,LiCl,4.046
0,CCl,4.107
0,MgCl,10.48
0,GaH,6.193
0,GaF,5.007
0,GaP,21.668
0,GaS,8.77
0,GaN,8.463
0,GeH,6.036
0,Ge2,15.094
0,GeS,8.037
0,GeCl,7.578
0,SiGe,9.747
0,GeO,4.937
0,AsH,4.94
0,AsP,8.519
0,AsO,4.966
0,AsF,4.669
0,As2,9.524
0,GaAs,13.088
0,Hse,4.317
0,SiSe,8.778
0,SeO,4.399
0,Pse,8.125
0,AsSe,9.078
0,CSe,5.248
0,CaBr,21.337
0,SeBr,7.557
0,Br2,6.727
0,NaLi,39.999
0,MgO,1.75
0,NO,1.698
0,HBr,3.616
0,F2,1.16
0,HCl,2.515
0,HBr,3.616
0,CO,1.953
0,N2,1.71
0,O2,1.562
0,Cl2,4.61
0,CaO,2.841
0,Br2,6.431
0,KH,7.244
0,KF,1.695
0,KCl,3.767
0,NaK,55.892
0,LiK,49.725
0,K2,80.642
0,CaH,21.07
0,CaF,19.364
0,CaS,14.077
0,CaCl,19.797
0,ZnH,6.416
0,ZnF,5.303
0,ZnS,9.368
0,ZnO,5.903
0,NBr,4.576
0,BrCl,5.646
0,BrF,3.63
0,PBr,7.252
